"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,unknown,69,102,65,,0,THB,4.18031646,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",18-24,unknown,38,47,1,,1,THB,4.10875812,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,unknown,100,133,2,,0,THB,4.1019651,1,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",55-64,unknown,21,32,3,,4,THB,3.8388397,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,unknown,55,94,13,,10,THB,3.83490255,4,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,unknown,235,408,4,,5,THB,3.80989926,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",65+,female,52,67,1,,1,THB,3.55,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",45-54,unknown,7,17,2,,0,THB,3.42593943,2,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,unknown,23,38,,,0,THB,3.40124589,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,unknown,96,111,1,,1,THB,3.26360727,,,,,,,2025-09-01,2025-09-30
