"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,unknown,8,10,,,0,THB,0.82,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,unknown,19,28,,,0,THB,0.7700088,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,unknown,8,20,1,,1,THB,0.76002534,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,unknown,12,22,,,0,THB,0.66000754,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",55-64,unknown,8,14,,,0,THB,0.65002167,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",55-64,unknown,12,21,,,0,THB,0.61998347,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",65+,unknown,10,11,,,0,THB,0.55998507,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",55-64,unknown,7,15,,,0,THB,0.50000714,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",45-54,unknown,8,9,,,0,THB,0.3305992,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",55-64,unknown,3,7,,,0,THB,0.29002322,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,unknown,6,12,,,0,THB,0.26999691,,,,,,2026-03-01,2026-03-31
